Çanakkale Onsekiz Mart Üniversitesi, Devlet, ÇANAKKALE, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 237.64364, 340477, 60, SAY,  #
Sağlık Bilimleri Üniversitesi, Devlet, İSTANBUL, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 235.22199, 350711, 40, SAY,  #
Selçuk Üniversitesi, Devlet, KONYA, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 224.97011, 380229, 60, SAY,  #
Hatay Mustafa Kemal Üniversitesi, Devlet, HATAY, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 214.21110, 386512, 50, SAY,  #
Burdur Mehmet Akif Ersoy Üniversitesi, Devlet, BURDUR, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 80, SAY,  #
Aksaray Üniversitesi, Devlet, AKSARAY, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 60, SAY,  #
Tokat Gaziosmanpaşa Üniversitesi, Devlet, TOKAT, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 40, SAY,  #
Gümüşhane Üniversitesi, Devlet, GÜMÜŞHANE, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 50, SAY,  #
Bayburt Üniversitesi, Devlet, BAYBURT, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 40, SAY,  #
Artvin Çoruh Üniversitesi, Devlet, ARTVİN, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 40, SAY,  #
Gümüşhane Üniversitesi, Devlet, GÜMÜŞHANE, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 50, SAY,  #
Ardahan Üniversitesi, Devlet, ARDAHAN, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 40, SAY,  #
Munzur Üniversitesi, Devlet, TUNCELİ, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 60, SAY,  #
Atatürk Üniversitesi, Devlet, ERZURUM, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 40, SAY,  #
Burdur Mehmet Akif Ersoy Üniversitesi, Devlet, BURDUR, Acil Yardım ve Afet Yönetimi (İ.Ö), 4, Türkçe, 0, 0, 60, SAY,  #
Girne Amerikan Üniversitesi, Devlet, GİRNE, Acil Yardım ve Afet Yönetimi, 4, İngilizce, 0, 0, 5, SAY, %100 Burslu #
Girne Amerikan Üniversitesi, Devlet, GİRNE, Acil Yardım ve Afet Yönetimi, 4, İngilizce, 0, 0, 3, SAY, %0 Burslu #
Girne Amerikan Üniversitesi, Devlet, GİRNE, Acil Yardım ve Afet Yönetimi, 4, İngilizce, 0, 0, 2, SAY, %50 Burslu #
Çanakkale Onsekiz Mart Üniversitesi, Devlet, ÇANAKKALE, Acil Yardım ve Afet Yönetimi (KKTC), 4, Türkçe, 0, 0, 1, SAY,  #
Selçuk Üniversitesi, Devlet, KONYA, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 50, SAY,  #
Tekirdağ Namık Kemal Üniversitesi, Devlet, TEKİRDAĞ, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 50, SAY,  #
Burdur Mehmet Akif Ersoy Üniversitesi, Devlet, BURDUR, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 60, SAY,  #
Trakya Üniversitesi, Devlet, EDİRNE, Acil Yardım ve Afet Yönetimi, 4, Türkçe, 0, 0, 30, SAY,  #
Üsküdar Üniversitesi, Vakıf, İSTANBUL, Adli Bilimler, 4, Türkçe, 354.29996, 87053, 12, SAY, %100 Burslu #
Kütahya Sağlık Bilimleri Üniversitesi, Devlet, KÜTAHYA, Adli Bilimler, 4, Türkçe, 271.13383, 227008, 40, SAY,  #
Üsküdar Üniversitesi, Vakıf, İSTANBUL, Adli Bilimler, 4, Türkçe, 0, 0, 68, SAY, %50 Burslu #
